commit,author,date,message,diffLength,isBugfix,isBuggy,path,pathType,tagIndex,countArguments,countAwait,countBreak,countCatch,countDebugger,countElse,countEnum,countExport,countExtends,countFor,countFunctions,countIfs,countImport,countInterface,countLet,countNew,countPrivate,countProtected,countPublic,countReturn,countStatic,countThis,countThrow,countVar,countAbstract,countGoto,countInclude,countPrint,countRequire,countYield
4f7ddab23962a62c1bf2c8883d734e3b61aa965b,anonym,Tue Nov 3 14:13:59 2020 +0100,Bugfix: fixed issue where users without full CiDetail rights are not able to run QueryActions (solves #8852),545,1.0,0,php/base/module/detail/DynamicFormActionModule.php,.php,564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9e12609d756fb3718e6ef23e859e4bfa89266f0c,anonym,Tue Nov 3 10:50:51 2020 +0100,ENHANCEMENT - CiBrowserOverview - schema switching disabled add button,1658,0.0,0,resources/js/base/CiBrowser/CiBrowserOverview.js,.js,726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4d4a292da7cbac135492260fa467e17a9a04de51,anonym,Tue Nov 3 10:50:19 2020 +0100,BUGFIX - DynamicForm - ActionController - removed debug output on console,922,1.0,0,resources/js/base/BaseView/FormView/DynamicFormObjects/ActionController.js,.js,725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b51799cca9b75b69bd5e25ca5fe3cecd3658eb22,anonym,Tue Nov 3 09:40:36 2020 +0100,BUGFIX - messageCatalog - hardened code,561,1.0,0,resources/js/base/helper/MessageCatalog.js,.js,725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9064f0108f758a13cbf334f11d0fbc376e3e4052,anonym,Tue Nov 3 09:37:22 2020 +0100,ENHANCEMENT - ItemType - added schema switch,1493,0.0,0,php/base/service/overview/ItemTypePermissionOverviewDataService.php,.php,725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
f0614453225dadc11340bdbe287ce3a6ba1f61cb,anonym,Tue Nov 3 09:36:54 2020 +0100,BUGFIX - some smaller fixes,1079,1.0,0,resources/js/base/BaseView/OverviewPanel.js,.js,725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
098fb39f23ec820617e03626f9bc6ed11cc22275,anonym,Tue Nov 3 09:34:03 2020 +0100,BUGFIX - QueryBuilder - src reference handling error    ENHANCEMENT - QueryBuilder - switched to usage of get_<xyz>_id functions in non pro mode,10469,1.0,0,php/base/service/special/QueryBuilderDataService.php,.php,725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fbefdc240cf95bf9b2d14a01322dca965ea3bab0,anonym,Tue Nov 3 09:05:24 2020 +0100,BUGFIX - ItemTypeDetail - PermissionsForm - changed groupId field name,1233,1.0,0,resources/js/base/panel/admin/MetaModelEditor/ItemType/ItemTypeDetailObjects/ItemTypePermissionsForm.js,.js,725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90b6ada58a233ca3daa395acbbd8360474b24d0b,anonym,Mon Nov 2 15:20:32 2020 +0100,BUGFIX - some code cleanup and a tooltip msgId typo fixed addded a warn message for not translated msgIds,521,1.0,0,resources/js/base/helper/MessageCatalog.js,.js,725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34296b202b77f2df1f48b16e646f3c736c8d4cb8,anonym,Mon Nov 2 15:13:42 2020 +0100,BUGFIX - some code cleanup and a tooltip msgId typo fixed addded a warn message for not translated msgIds,868,1.0,0,resources/js/base/form/Button.js,.js,725.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
